#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2024-07-08-06-07-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1718070957.889869	CCDntd3NR8Z1Zlg0u2	51.89.167.188	34733	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000198	201.68.88.106	1718070892.882263	1718070957.206899	1718070957.889336	1718070957.889352	0
1718073006.140445	C1B3zg1mb9J0d7JC4	51.89.167.188	54081	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001144	0.000244	201.68.88.106	1718072963.153689	1718073006.032359	1718073006.139609	1718073006.139623	0
1718075054.390107	CkuGtg4lT1S96YEJyf	51.89.167.188	33449	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000137	201.68.88.106	1718075036.303721	1718075054.090511	1718075054.389504	1718075054.389520	0
1718075241.937803	CruAHEyjgYhT9Z3ti	51.89.167.188	48649	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000244	201.68.88.106	1718075228.803378	1718075241.218090	1718075241.937202	1718075241.937210	0
1718077290.140060	CWb1Wd1KQqgTWLYrC4	51.89.167.188	57975	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001190	0.000214	201.68.88.106	1718077232.724981	1718077290.032288	1718077290.139406	1718077290.139418	0
1718079338.389835	CvK3jA3HYVdopJPmD2	51.89.167.188	47584	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000168	201.68.88.106	1718079304.672321	1718079338.090500	1718079338.389157	1718079338.389172	0
1718081386.640438	Cv8Rnc4CBTWGxlkwO9	51.89.167.188	48645	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000244	201.68.88.106	1718081305.902415	1718081386.148736	1718081386.639767	1718081386.639783	0
1718083434.890140	C4gh89174x0qkB259f	51.89.167.188	36663	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000214	201.68.88.106	1718083371.189258	1718083434.206977	1718083434.889540	1718083434.889562	0
1718085483.139964	CNsYCq15twsShxz7rd	51.89.167.188	34996	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001129	0.000259	201.68.88.106	1718085443.755604	1718085483.032300	1718085483.139283	1718085483.139291	0
1718087531.389832	C0GcdN3uCHjIEvgiUc	51.89.167.188	38699	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001114	0.000168	201.68.88.106	1718087520.525387	1718087531.090474	1718087531.389277	1718087531.389288	0
1718088476.593729	Cq9qrk3BHlgaXVN9ne	71.6.134.233	60139	51.89.167.188	123	4	3	0	16.000000	0.015625	1.000000	1.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1718002800.444112	0
1718089579.639726	CIt5ld3Tgv52lkM7ck	51.89.167.188	60808	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001114	0.000473	201.68.88.106	1718089329.650171	1718089579.148701	1718089579.639180	1718089579.639196	0
1718091627.890340	CmD6Ii4qARG4TYIRF2	51.89.167.188	53419	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001190	0.000885	201.68.88.106	1718090886.076318	1718091627.207028	1718091627.889237	1718091627.889256	0
1718093676.140722	CtB26u2bLqkzYQ3YTi	51.89.167.188	41865	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001190	0.000443	201.68.88.106	1718093469.649094	1718093676.032478	1718093676.139913	1718093676.139949	0
1718094791.209298	CeatcW2ijPNWemUpfg	199.45.154.191	1209	51.89.167.188	123	4	3	0	16.000000	0.015625	1.000000	1.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1101309131.444112	0
1718095058.401196	CeWfXq4gdnK7KwJGk1	166.1.227.21	45754	51.89.167.188	123	4	3	0	16.000000	0.015625	1.000000	1.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1101309131.444112	0
1718095724.389623	CC7NNilqiXaKHIbJ3	51.89.167.188	34913	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001129	0.000412	201.68.88.106	1718095548.122646	1718095724.090489	1718095724.389227	1718095724.389239	0
1718097772.639712	C1xsTj1f6jG31ODMAc	51.89.167.188	38291	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000320	201.68.88.106	1718097616.003707	1718097772.148679	1718097772.639292	1718097772.639317	0
1718099820.890039	CQyNIU3TECSKl8CJr9	51.89.167.188	51849	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001190	0.000275	201.68.88.106	1718099677.590346	1718099820.206905	1718099820.889468	1718099820.889479	0
1718101869.140019	CgAU8F2PZF8kvBqDM6	51.89.167.188	41684	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000366	201.68.88.106	1718101746.093242	1718101869.032267	1718101869.139335	1718101869.139348	0
1718103917.389912	C836464fy3zYok9ho5	51.89.167.188	50982	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001190	0.000259	201.68.88.106	1718103811.595648	1718103917.090479	1718103917.389023	1718103917.389035	0
1718105965.639939	CokPTr2j125Keflhdc	51.89.167.188	57181	185.125.190.58	123	4	4	2	1.000000	0.000000	0.001175	0.000320	201.68.88.106	1718105875.838343	1718105965.148698	1718105965.639306	1718105965.639315	0
